               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028162,            0.012833,           0.0018015,             0.89013,             0.84361,             0.92107,             0.62678,            0.028489,            0.006915,           0.0058886,             0.00307,             0.00307,             0.00307
                  37,            0.027921,            0.012759,           0.0019008,             0.88784,             0.85761,             0.92149,             0.62427,             0.02714,           0.0071161,           0.0055453,            0.002872,            0.002872,            0.002872
                  38,            0.027885,            0.012743,           0.0018426,             0.85969,             0.87323,               0.925,             0.64537,            0.026795,           0.0065166,           0.0073127,            0.002674,            0.002674,            0.002674
                  39,            0.027424,            0.012707,           0.0019298,             0.90223,             0.85287,             0.93094,             0.64832,            0.027046,           0.0061464,           0.0052022,            0.002476,            0.002476,            0.002476
                  40,            0.026993,            0.012515,           0.0015087,             0.88186,             0.86314,             0.93111,             0.63953,            0.026732,           0.0062871,           0.0060744,            0.002278,            0.002278,            0.002278
                  41,            0.026753,            0.012467,           0.0015242,             0.88818,             0.85987,             0.92563,             0.65576,            0.026578,           0.0063983,           0.0080152,             0.00208,             0.00208,             0.00208
                  42,            0.026061,             0.01241,           0.0013174,             0.88079,             0.88689,             0.94249,             0.67891,            0.025334,           0.0060507,           0.0062559,            0.001882,            0.001882,            0.001882
                  43,            0.026231,            0.012318,           0.0016064,             0.91273,             0.84762,             0.93393,             0.66524,             0.02561,           0.0062624,           0.0064995,            0.001684,            0.001684,            0.001684
                  44,            0.025282,             0.01176,           0.0013938,             0.87982,             0.87717,             0.93047,             0.65486,            0.025912,           0.0063064,           0.0060725,            0.001486,            0.001486,            0.001486
                  45,            0.025682,            0.011991,           0.0015171,             0.86617,             0.90162,             0.93524,             0.66783,            0.026123,           0.0062115,           0.0088308,            0.001288,            0.001288,            0.001288
                  46,            0.025398,            0.011869,           0.0013526,             0.86736,             0.89432,             0.93443,               0.671,            0.025738,           0.0061762,           0.0083654,             0.00109,             0.00109,             0.00109
                  47,            0.025176,            0.012025,           0.0014909,             0.90825,             0.85981,             0.93595,             0.66882,            0.025329,           0.0061108,           0.0078223,            0.000892,            0.000892,            0.000892
                  48,             0.02452,            0.011875,           0.0011414,              0.8759,             0.88926,              0.9397,             0.67355,            0.025252,           0.0061103,           0.0092826,            0.000694,            0.000694,            0.000694
                  49,            0.024599,            0.011859,           0.0012333,             0.91477,             0.86019,             0.93441,             0.67237,            0.025298,           0.0061448,           0.0091389,            0.000496,            0.000496,            0.000496
