               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078415,            0.023409,            0.021013,             0.53954,              0.4592,             0.48846,             0.23578,            0.048724,            0.010414,           0.0090518,            0.070109,           0.0033213,           0.0033213
                   1,            0.054384,            0.019446,           0.0099829,             0.57213,             0.51093,             0.54489,             0.27866,            0.046512,           0.0086275,           0.0092531,            0.039285,           0.0058311,           0.0058311
                   2,            0.049847,            0.018809,           0.0087248,             0.57374,             0.57048,             0.56344,             0.27675,            0.047242,           0.0079992,           0.0053578,           0.0076367,           0.0075159,           0.0075159
                   3,            0.046844,            0.018385,            0.007814,             0.72574,             0.67409,             0.74378,             0.39704,            0.038506,           0.0078688,           0.0051744,           0.0062875,           0.0062875,           0.0062875
                   4,            0.044887,            0.017759,           0.0075934,             0.74341,             0.61769,             0.71569,             0.39336,            0.039307,           0.0081864,           0.0045402,           0.0062875,           0.0062875,           0.0062875
                   5,            0.042408,            0.017333,            0.006125,             0.78614,             0.70287,             0.77378,             0.43185,              0.0365,           0.0074889,           0.0042756,             0.00505,             0.00505,             0.00505
                   6,            0.039671,            0.016458,           0.0053956,             0.78776,             0.73624,             0.79889,             0.47539,            0.033557,           0.0068311,           0.0041446,           0.0038125,           0.0038125,           0.0038125
                   7,            0.037034,             0.01614,           0.0044854,             0.83556,             0.75963,             0.86643,             0.53199,            0.031618,           0.0066378,           0.0023179,            0.002575,            0.002575,            0.002575
