               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078415,            0.023409,            0.021013,             0.53954,              0.4592,             0.48846,             0.23578,            0.048724,            0.010414,           0.0090518,            0.070109,           0.0033213,           0.0033213
                   1,            0.053782,            0.019375,           0.0096757,             0.63354,             0.56546,             0.59464,             0.27952,            0.042091,           0.0084201,           0.0073321,            0.038791,            0.005337,            0.005337
                   2,            0.048434,            0.018653,           0.0080608,             0.64882,             0.61472,             0.65322,             0.31247,            0.042171,           0.0078963,            0.005328,           0.0061535,           0.0060327,           0.0060327
                   3,            0.044373,            0.017976,           0.0068279,             0.79078,             0.64093,             0.75173,             0.41759,            0.036348,           0.0073198,           0.0040385,             0.00406,             0.00406,             0.00406
                   4,            0.042443,            0.017082,           0.0058662,             0.82308,             0.67347,             0.79321,             0.45411,            0.035796,           0.0074801,           0.0034474,             0.00406,             0.00406,             0.00406
